     1	-71.7892
     2	-71.4809
     3	-71.2856
     4	-71.2727
     5	-71.4752
     6	-71.8771
     7	-72.4161
     8	-72.9999
     9	-73.5289
    10	-73.9201
    11	-74.1209
    12	-74.1195
    13	-73.9473
    14	-73.674
    15	-73.3926
    16	-73.1959
    17	-73.1531
    18	-73.2938
    19	-73.6052
    20	-74.0437
    21	-74.5543
    22	-75.0877
    23	-75.6168
    24	-76.1413
    25	-76.6803
    26	-77.2622
    27	-77.9088
    28	-78.6257
    29	-79.3963
    30	-80.181
    31	-80.9255
    32	-81.5687
    33	-82.0578
    34	-82.3614
    35	-82.479
    36	-82.4475
    37	-82.3393
    38	-82.2495
    39	-82.2747
    40	-82.4896
    41	-82.9253
    42	-83.5605
    43	-84.3296
    44	-85.145
    45	-85.9234
    46	-86.6089
    47	-87.184
    48	-87.6661
    49	-88.0928
    50	-88.5052
    51	-88.927
    52	-89.3535
    53	-89.7492
    54	-90.059
    55	-90.2286
    56	-90.223
    57	-90.0371
    58	-89.6992
    59	-89.2666
    60	-88.8186
    61	-88.4436
    62	-88.2209
    63	-88.2003
    64	-88.3867
    65	-88.7345
    66	-89.1593
    67	-89.5583
    68	-89.8365
    69	-89.926
    70	-89.7952
    71	-89.4511
    72	-88.932
    73	-88.2921
    74	-87.5828
    75	-86.8333
    76	-86.0421
    77	-85.1789
    78	-84.2033
    79	-83.085
    80	-81.819
    81	-80.4379
    82	-79.0126
    83	-77.6379
    84	-76.4089
    85	-75.3938
    86	-74.611
    87	-74.0224
    88	-73.5434
    89	-73.0655
    90	-72.4868
    91	-71.7372
    92	-70.7948
    93	-69.6928
    94	-68.5104
    95	-67.3491
    96	-66.3043
    97	-65.4393
    98	-64.7737
    99	-64.2873
   100	-63.935
   101	-63.6666
   102	-63.4452
   103	-63.258
   104	-63.1182
   105	-63.0568
   106	-63.1089
   107	-63.2979
   108	-63.6225
   109	-64.0511
   110	-64.5244
   111	-64.9649
   112	-65.2918
   113	-65.4351
   114	-65.3489
   115	-65.0231
   116	-64.4849
   117	-63.7968
   118	-63.0442
   119	-62.3175
   120	-61.694
   121	-61.2162
   122	-60.8802
   123	-60.6411
   124	-60.4329
   125	-60.1928
   126	-59.886
   127	-59.5185
   128	-59.1348
   129	-58.8049
   130	-58.6008
   131	-58.5694
   132	-58.7129
   133	-58.9826
   134	-59.2912
   135	-59.5419
   136	-59.6587
   137	-59.6117
   138	-59.4274
   139	-59.1851
   140	-58.9987
   141	-58.986
   142	-59.2341
   143	-59.7702
   144	-60.5548
   145	-61.4974
   146	-62.4889
   147	-63.4323
   148	-64.2668
   149	-64.9759
   150	-65.5816
   151	-66.134
   152	-66.6922
   153	-67.3012
   154	-67.9711
   155	-68.6676
   156	-69.3176
   157	-69.8291
   158	-70.1195
   159	-70.1407
   160	-69.8945
   161	-69.436
   162	-68.8604
   163	-68.2787
   164	-67.7836
   165	-67.4195
   166	-67.1746
   167	-66.992
   168	-66.7935
   169	-66.5047
   170	-66.0741
   171	-65.4835
   172	-64.7528
   173	-63.9389
   174	-63.1265
   175	-62.4083
   176	-61.8595
   177	-61.5158
   178	-61.3646
   179	-61.3534
   180	-61.4101
   181	-61.4687
   182	-61.4897
   183	-61.4717
   184	-61.4475
   185	-61.4686
   186	-61.5836
   187	-61.8182
   188	-62.1653
   189	-62.5869
   190	-63.0242
   191	-63.4129
   192	-63.7002
   193	-63.8542
   194	-63.8717
   195	-63.7807
