1 -71.7892 140.957
2 -71.4809 141.423
3 -71.2856 141.933
4 -71.2727 142.523
5 -71.4752 143.197
6 -71.8771 143.92
7 -72.4161 144.625
8 -72.9999 145.232
9 -73.5289 145.666
10 -73.9201 145.883
11 -74.1209 145.876
12 -74.1195 145.674
13 -73.9473 145.334
14 -73.674 144.921
15 -73.3926 144.497
16 -73.1959 144.105
17 -73.1531 143.765
18 -73.2938 143.479
19 -73.6052 143.235
20 -74.0437 143.022
21 -74.5543 142.838
22 -75.0877 142.691
23 -75.6168 142.595
24 -76.1413 142.567
25 -76.6803 142.621
26 -77.2622 142.761
27 -77.9088 142.981
28 -78.6257 143.259
29 -79.3963 143.566
30 -80.181 143.866
31 -80.9255 144.124
32 -81.5687 144.315
33 -82.0578 144.422
34 -82.3614 144.446
35 -82.479 144.395
36 -82.4475 144.289
37 -82.3393 144.157
38 -82.2495 144.035
39 -82.2747 143.958
40 -82.4896 143.96
41 -82.9253 144.065
42 -83.5605 144.279
43 -84.3296 144.593
44 -85.145 144.98
45 -85.9234 145.396
46 -86.6089 145.795
47 -87.184 146.137
48 -87.6661 146.398
49 -88.0928 146.581
50 -88.5052 146.712
51 -88.927 146.83
52 -89.3535 146.974
53 -89.7492 147.166
54 -90.059 147.402
55 -90.2286 147.651
56 -90.223 147.87
57 -90.0371 148.015
58 -89.6992 148.062
59 -89.2666 148.015
60 -88.8186 147.907
61 -88.4436 147.792
62 -88.2209 147.726
63 -88.2003 147.752
64 -88.3867 147.883
65 -88.7345 148.098
66 -89.1593 148.342
67 -89.5583 148.543
68 -89.8365 148.634
69 -89.926 148.573
70 -89.7952 148.348
71 -89.4511 147.983
72 -88.932 147.523
73 -88.2921 147.025
74 -87.5828 146.532
75 -86.8333 146.065
76 -86.0421 145.614
77 -85.1789 145.148
78 -84.2033 144.634
79 -83.085 144.055
80 -81.819 143.421
81 -80.4379 142.779
82 -79.0126 142.196
83 -77.6379 141.751
84 -76.4089 141.502
85 -75.3938 141.478
86 -74.611 141.662
87 -74.0224 142.003
88 -73.5434 142.426
89 -73.0655 142.859
90 -72.4868 143.245
91 -71.7372 143.559
92 -70.7948 143.803
93 -69.6928 144.006
94 -68.5104 144.202
95 -67.3491 144.427
96 -66.3043 144.701
97 -65.4393 145.026
98 -64.7737 145.382
99 -64.2873 145.738
100 -63.935 146.062
101 -63.6666 146.329
102 -63.4452 146.527
103 -63.258 146.656
104 -63.1182 146.724
105 -63.0568 146.743
106 -63.1089 146.722
107 -63.2979 146.666
108 -63.6225 146.575
109 -64.0511 146.445
110 -64.5244 146.266
111 -64.9649 146.026
112 -65.2918 145.711
113 -65.4351 145.303
114 -65.3489 144.788
115 -65.0231 144.154
116 -64.4849 143.407
117 -63.7968 142.574
118 -63.0442 141.711
119 -62.3175 140.886
120 -61.694 140.175
121 -61.2162 139.638
122 -60.8802 139.303
123 -60.6411 139.161
124 -60.4329 139.176
125 -60.1928 139.296
126 -59.886 139.473
127 -59.5185 139.676
128 -59.1348 139.906
129 -58.8049 140.184
130 -58.6008 140.549
131 -58.5694 141.033
132 -58.7129 141.646
133 -58.9826 142.363
134 -59.2912 143.123
135 -59.5419 143.845
136 -59.6587 144.447
137 -59.6117 144.868
138 -59.4274 145.082
139 -59.1851 145.109
140 -58.9987 145.003
141 -58.986 144.839
142 -59.2341 144.686
143 -59.7702 144.582
144 -60.5548 144.529
145 -61.4974 144.488
146 -62.4889 144.401
147 -63.4323 144.213
148 -64.2668 143.89
149 -64.9759 143.437
150 -65.5816 142.899
151 -66.134 142.351
152 -66.6922 141.882
153 -67.3012 141.56
154 -67.9711 141.417
155 -68.6676 141.434
156 -69.3176 141.548
157 -69.8291 141.671
158 -70.1195 141.726
159 -70.1407 141.67
160 -69.8945 141.506
161 -69.436 141.282
162 -68.8604 141.074
163 -68.2787 140.963
164 -67.7836 141.001
165 -67.4195 141.198
166 -67.1746 141.52
167 -66.992 141.897
168 -66.7935 142.253
169 -66.5047 142.531
170 -66.0741 142.701
171 -65.4835 142.775
172 -64.7528 142.794
173 -63.9389 142.817
174 -63.1265 142.897
175 -62.4083 143.067
176 -61.8595 143.328
177 -61.5158 143.646
178 -61.3646 143.966
179 -61.3534 144.229
180 -61.4101 144.387
181 -61.4687 144.418
182 -61.4897 144.33
183 -61.4717 144.153
184 -61.4475 143.934
185 -61.4686 143.716
186 -61.5836 143.532
187 -61.8182 143.395
188 -62.1653 143.299
189 -62.5869 143.229
190 -63.0242 143.164
191 -63.4129 143.091
192 -63.7002 143.004
193 -63.8542 142.908
194 -63.8717 142.814
195 -63.7807 142.736
196 -63.6321 142.685
197 -63.4857 142.67
198 -63.3942 142.692
199 -63.3901 142.744
200 -63.4778 142.807
201 -63.6345 142.859
202 -63.8185 142.87
203 -63.9829 142.814
204 -64.0907 142.669
205 -64.1268 142.425
206 -64.1032 142.083
207 -64.0581 141.66
208 -64.0468 141.187
209 -64.127 140.708
210 -64.3407 140.269
211 -64.698 139.915
212 -65.1691 139.672
213 -65.6889 139.546
214 -66.174 139.518
215 -66.547 139.557
216 -66.7564 139.626
217 -66.7887 139.7
218 -66.6686 139.778
219 -66.4493 139.883
220 -66.1976 140.055
221 -65.9739 140.328
222 -65.8152 140.717
223 -65.7262 141.201
224 -65.6826 141.728
225 -65.6428 142.226
226 -65.5673 142.626
227 -65.4339 142.88
228 -65.2487 142.968
229 -65.047 142.905
230 -64.8869 142.734
231 -64.8355 142.516
232 -64.9516 142.312
233 -65.2685 142.166
234 -65.7821 142.094
235 -66.4511 142.08
236 -67.2078 142.078
237 -67.975 142.034
238 -68.6843 141.898
239 -69.2904 141.65
240 -69.7738 141.3
241 -70.1394 140.887
242 -70.4077 140.467
243 -70.6029 140.089
244 -70.7414 139.776
245 -70.8225 139.524
246 -70.8284 139.302
247 -70.7307 139.066
248 -70.4994 138.782
249 -70.1117 138.432
250 -69.558 138.028
251 -68.8449 137.601
252 -67.9984 137.197
253 -67.0593 136.861
254 -66.0782 136.627
255 -65.1093 136.511
256 -64.1971 136.512
257 -63.3671 136.617
258 -62.6238 136.808
259 -61.9545 137.07
260 -61.3387 137.398
261 -60.76 137.796
262 -60.2146 138.27
263 -59.7099 138.826
264 -59.2604 139.456
265 -58.8796 140.139
266 -58.572 140.84
267 -58.3336 141.514
268 -58.1555 142.124
269 -58.0313 142.642
270 -57.9618 143.06
271 -57.9554 143.38
272 -58.0243 143.617
273 -58.1796 143.784
274 -58.4286 143.893
275 -58.7734 143.944
276 -59.2124 143.931
277 -59.741 143.844
278 -60.3544 143.681
279 -61.0445 143.448
280 -61.7946 143.163
281 -62.5775 142.854
282 -63.3535 142.55
283 -64.0718 142.272
284 -64.6771 142.023
285 -65.1187 141.795
286 -65.3588 141.569
287 -65.3772 141.33
288 -65.1751 141.078
289 -64.7749 140.83
290 -64.2182 140.62
291 -63.5592 140.492
292 -62.8548 140.479
293 -62.1564 140.6
294 -61.5006 140.851
295 -60.9053 141.205
296 -60.3747 141.624
297 -59.9103 142.071
298 -59.5252 142.523
299 -59.2519 142.973
300 -59.1377 143.436
301 -59.234 143.938
302 -59.5774 144.508
303 -60.1697 145.159
304 -60.9687 145.879
305 -61.8949 146.633
306 -62.8502 147.364
307 -63.7415 148.015
308 -64.4978 148.539
309 -65.081 148.915
310 -65.4895 149.153
311 -65.7533 149.288
312 -65.9233 149.368
313 -66.0569 149.438
314 -66.2007 149.526
315 -66.3763 149.636
316 -66.5756 149.746
317 -66.7645 149.823
318 -66.8964 149.831
319 -66.927 149.745
320 -66.8287 149.563
321 -66.5977 149.303
322 -66.2545 148.999
323 -65.8367 148.691
324 -65.3874 148.41
325 -64.9423 148.175
326 -64.5195 147.983
327 -64.1175 147.821
328 -63.7149 147.668
329 -63.28 147.509
330 -62.7844 147.338
331 -62.2141 147.165
332 -61.5789 147.01
333 -60.9153 146.895
334 -60.2832 146.841
335 -59.7559 146.862
336 -59.405 146.965
337 -59.2862 147.149
338 -59.4303 147.409
339 -59.8381 147.742
340 -60.4791 148.14
341 -61.2947 148.592
342 -62.2085 149.082
343 -63.1369 149.584
344 -64.0038 150.064
345 -64.756 150.487
346 -65.3682 150.824
347 -65.8426 151.054
348 -66.2008 151.177
349 -66.471 151.208
350 -66.6747 151.175
351 -66.8181 151.11
